Company,Role,Status,Date Applied,Salary Range,Location,Recruiter,Notes
Stripe,Senior Backend Engineer,Offer received!!,11/15/2025,$190-240k,SF (hybrid),Maya Rodriguez,payments infra team. really excited about this one. offer came in at $225k base + 5000 RSUs
Datadog,"Senior SWE, Platform",Offer,11/18/2025,185-230k,NYC / Remote,Tom Brennan,observability platform team. offer: $220k + 180k RSUs. remote is nice.
Notion,Senior Full-Stack Eng,Onsite scheduled 2/20,11/20/25,$180-225K,San Francisco,Rachel Kim,core product team. need to prep for this! product sense round seems unique
Figma,Senior Backend Engineer,"Post-onsite, waiting",Dec 1,$185-235k,SF,Daniel Park (dpark@figma.com),collaboration infra team. onsite felt good. real-time systems stuff is cool
Meridian Technologies,"Staff Eng, Backend",phone screen done,12/10/2025,$200-260K,Austin TX (remote ok),Kevin Walsh,not super excited tbh. the tech seems interesting but culture vibes were meh on the call
Acme Corp,Sr Platform Eng,tech screen 2/19,2025-12-15,175-220k,Seattle (hybrid),Lisa Tran,dev experience team
Vercel,Senior Eng Infrastructure,Applied,12/20/2025,$190-245k,Remote US,,edge runtime team. REALLY want this one. no response yet tho :(
Supabase,Senior Backend Eng,applied - no response,1/5/2026,170-210k,Remote (global),,database team. open source is appealing. remote-first.
Palantir,Forward Deployed SWE,Rejected,11/10/25,$160-210k,DC,Amy Foster,rejected after phone screen. said they wanted more defense/gov experience
Robinhood,Sr Backend Eng,REJECTED (after onsite!),11/8/2025,195-250k,Menlo Park,Chris Martinez,trading platform team. they said another candidate had more low-latency trading experience. frustrating
Plaid,Senior SWE,Withdrew,11/25/2025,185-235,SF hybrid,Josh Williams,withdrew - decided to focus on other opps
Anduril,SWE Platform,Applied,1/12/2026,180-240k,Costa Mesa,,lattice team. need clearance? unclear
Linear,Senior SWE,applied,Jan 15,175-225k,Remote US/EU,,love their product. would be amazing to work on it
Scale AI,,"interested, haven't applied yet",,200-260k,SF,,data engine team. should I apply? feels competitive
Confluent,Sr SWE Streaming,"recruiter reached out, haven't responded",,$180-230k,Remote,Nadia Petrova,kafka stuff. not really my area of interest rn
